name,name,approach_date,velocity_km_h
343158 Marsyas (2009 HC82),Marsyas,1924-06-26,264514.315482
137052 Tjelvar (1998 VO33),Tjelvar,1902-07-17,170819.32591584
10563 Izhdubar (1993 WD),Izhdubar,1900-05-06,125743.88235419999
2102 Tantalus (1975 YA),Tantalus,1912-12-23,122044.02467328
3200 Phaethon (1983 TB),Phaethon,1924-10-21,121960.03392756001
37655 Illapa (1994 PM),Illapa,1903-01-24,121443.08213160001
1981 Midas (1973 EA),Midas,1916-09-24,113050.52539416
3362 Khufu (1984 QA),Khufu,1912-09-09,108037.20790692
6063 Jason (1984 KB),Jason,1901-08-24,106963.82670312001
2212 Hephaistos (1978 SB),Hephaistos,1905-03-14,105916.12599708
3752 Camillo (1985 PA),Camillo,1934-02-14,104764.57240428
4197 Morpheus (1982 TA),Morpheus,1913-05-12,102825.74141172
2135 Aristaeus (1977 HA),Aristaeus,1958-10-17,98776.02991823999
1566 Icarus (1949 MA),Icarus,1902-06-11,97229.00196395999
2201 Oljato (1947 XC),Oljato,1903-06-18,91244.256408
428694 Saule (2008 OS9),Saule,1921-07-15,84115.3187322
5381 Sekhmet (1991 JY),Sekhmet,1908-05-16,83186.57375244
2329 Orthos (1976 WA),Orthos,1920-10-05,83134.13094396
1866 Sisyphus (1972 XA),Sisyphus,1959-11-17,83065.56445692
4257 Ubasti (1987 QA),Ubasti,1911-07-24,81454.53561516
3360 Syrinx (1981 VA),Syrinx,1950-12-01,81229.60463399999
4486 Mithra (1987 SB),Mithra,1902-08-23,79937.71741728
11066 Sigurd (1992 CC1),Sigurd,1917-09-16,79379.79396912
12711 Tukmit (1991 BB),Tukmit,1907-07-11,77919.02975448
7092 Cadmus (1992 LC),Cadmus,1923-12-13,77797.53747899999
4450 Pan (1987 SY),Pan,1907-12-11,77122.76808276
1864 Daedalus (1971 FA),Daedalus,1909-11-13,76038.44454324001
1865 Cerberus (1971 UA),Cerberus,1905-12-23,74066.49352044
69230 Hermes (1937 UB),Hermes,1900-05-08,73913.62740911999
9162 Kwiila (1987 OA),Kwiila,1901-08-10,73803.94002144
163693 Atira (2003 CP20),Atira,1912-03-04,72219.93692472
3838 Epona (1986 WA),Epona,1979-08-01,71162.25385319999
66391 Moshup (1999 KW4),Moshup,1912-05-30,70803.16964172
2101 Adonis (1936 CA),Adonis,1902-07-16,69587.38789056
20460 Robwhiteley (1999 LO28),Robwhiteley,2007-02-28,67006.72333872
6239 Minos (1989 QF),Minos,1900-08-23,67001.03424180001
85585 Mjolnir (1998 FG2),Mjolnir,1918-03-24,66864.50919072001
21088 Chelyabinsk (1992 BL2),Chelyabinsk,2142-08-29,66474.28012571999
4341 Poseidon (1987 KF),Poseidon,1902-08-11,66353.29464672001
306367 Nut (5025 P-L),Nut,1910-10-22,65513.28841704
1863 Antinous (1948 EA),Antinous,1907-10-11,65086.25193828
2100 Ra-Shalom (1978 RA),Ra-Shalom,1906-12-24,64782.463770719994
4183 Cuno (1959 LM),Cuno,1903-09-16,64644.56475119999
161989 Cacus (1978 CA),Cacus,1910-09-09,63670.65258960001
2340 Hathor (1976 UA),Hathor,1901-07-04,62969.637128760005
136818 Selqet (1997 MW1),Selqet,1900-08-26,62961.47683271999
367943 Duende (2012 DA14),Duende,1913-08-08,62708.20716816
2608 Seneca (1978 DA),Seneca,1905-03-01,61685.322152759996
3103 Eger (1982 BB),Eger,1981-08-03,61046.89240356001
3753 Cruithne (1986 TO),Cruithne,1900-07-17,59753.23864704001
1685 Toro (1948 OA),Toro,1908-08-04,58086.29618063999
11311 Peleus (1993 XN2),Peleus,1919-11-12,56891.27706336
4769 Castalia (1989 PB),Castalia,1902-02-18,56391.40732968
5011 Ptah (6743 P-L),Ptah,1902-03-31,55202.46593292
4957 Brucemurray (1990 XJ),Brucemurray,1939-05-07,55183.33226304
